Calculated pChEMBL,SMILES,old/new
4.89,Cl.N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1,old
4.81,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN1CC1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)N)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)O,old
4.98,C#CCNCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)N)[C@@H](C)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O)[C@@H](C)O)[C@@H](C)O,old
4.86,NNCCc1ccccc1,old
4.56,N[C@@H]1C[C@H]1c1ccccc1,old
6.05,Cc1cc(NN)n2nc(SCc3ccccc3)nc2n1,old
6.3,CCNCCCCNCCCCNCCCCNCCCCNC/C=C\CNCCCCNCCCCNCCCCNCCCCNCC,old
6.3,C/N=C(\NC)NCCCNCCCNCCCN/C(=N/C)NC,old
5.64,N[C@@H]1C[C@H]1c1ccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1,old
6.61,COc1cc2nc(NCCCN(C)C)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,old
4.6,Cl.N[C@@H]1C[C@H]1c1ccccc1,old
5.02,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,old
4.59,CCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C,old
3.36,CC(=O)c1csc(Nc2ccccc2Cl)n1,old
4.4,COc1cc(NS(=O)(=O)c2ccccc2)ccc1-n1nc(C)cc1C,old
5.05,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12,old
4.99,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,old
4.38,COc1ccc([C@@H]2C[C@H]2N)cc1.Cl,old
4.1,Cl.N[C@@H]1C[C@H]1c1ccc(F)cc1,old
5.43,Cl.N[C@@H]1C[C@H]1c1ccc(Br)cc1,old
5.05,Cl.N[C@@H]1C[C@H]1c1cccc(Br)c1,old
4.93,Cl.N[C@@H]1C[C@H]1c1ccccc1Br,old
5.1,NC1CC1c1cccc2ccccc12,old
5.22,O=C(CNC1CC1c1ccccc1)NC1CC1,old
5.7,NC1CC1c1cccc(OCCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)c1,old
5.98,NC1CC1c1cc(F)cc(F)c1OCc1ccccc1,old
