,T1,T2,old/new,Calculated pChEMBL,SMILES,subset,subset
932,-8.66465,15.22231,new,5.530177984,OC1=C2C(OC=C(C3=CC=C(OC)C=C3)C2=O)=CC(O)=C1,3,
933,-26.357708,16.05753,new,6.958607315,OC1=CC=C(/C=C/C(O[C@@H](C(O)=O)CC2=CC=C(O)C(O)=C2)=O)C3=C1O[C@H](C4=CC(O)=C(O)C=C4)[C@H]3C(O[C@H](CC5=CC(O)=C(O)C=C5)C(O)=O)=O,3,
934,-26.245167,16.169292,new,4.679230772,OC1=C(O)C=CC(/C=C/C(O[C@H](CC2=CC(O)=C(O)C=C2)C(O)=O)=O)=C1,3,
935,-6.062587,3.2451425,new,4.799970733,CC1=C(C=CC(C(OC[C@@H]2C)=C2C3=O)=C4C3=O)C4=CC=C1,3,
936,-5.8154073,2.698839,new,5.044793462,O=C(C1=C(C2=C3[C@@H](C)CO2)C=CC4=C1CCCC4(C)C)C3=O,3,
937,-6.063802,3.2743533,new,4.783834098,CC1=C(C=CC(C(OC=C2C)=C2C3=O)=C4C3=O)C4=CC=C1,3,
938,-5.805799,2.7106836,new,5.920818754,O=C(C1=C(C2=C3C(C)=CO2)C=CC4=C1CCCC4(C)C)C3=O,3,
964,7.3816113,60.437923,new,6.27572413,O=C(C1=CC2=CC=CC=C2O1)NC3=C(N(CC4=CC=C(OC5CCNCC5)C=C4)CCC6)C6=CC=C3,3,
965,7.6793814,60.546432,new,6.031517051,O=C(C1=CC2=CC=CC=C2S1)NC3=C(N(CC4=CC=C(OC5CCNCC5)C=C4)CCC6)C6=CC=C3,3,
966,7.9307556,59.619747,new,5.55129368,O=C(C1=CC2=CC=CC=C2N1)NC3=C(N(CC4=CC=C(OC5CCNCC5)C=C4)CCC6)C6=CC=C3,3,
970,5.8751383,60.48429,new,6.26760624,O=C(C1=CC=CC2=C1C=CN2)NC3=C(N(CC4=CC=C(OC5CCNCC5)C=C4)CCC6)C6=CC=C3,3,
971,5.768934,60.480164,new,5.339134522,O=C(C1=CC(C=CN2)=C2C=C1)NC3=C(N(CC4=CC=C(OC5CCNCC5)C=C4)CCC6)C6=CC=C3,3,
972,6.1111255,59.834,new,5.406713933,O=C(C1=CC=CC2=C1C=CN2C)NC3=C(N(CC4=CC=C(OC5CCNCC5)C=C4)CCC6)C6=CC=C3,3,
