zinc_id,Smiles,Predictive Results
ZINC000057407777,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O,7.689875799
ZINC000022449627,COc1ccc(-c2ccc(C#N)cc2F)cc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.675783549
ZINC000114026926,N[C@H]1C[C@@H]1c1ccc(-c2cccc(O)c2)cc1,7.600066892
ZINC000044675892,c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1,7.519889508
ZINC000094088493,NC1CCC(N[C@@H]2C[C@H]2c2ccccc2)CC1,7.510062705
ZINC000584905237,CCn1c(C(=O)Nc2cccc(COC)c2COc2ccc(OC[C@@H]3CCNC3)cc2)cc2sccc21,7.364262787
ZINC000068204276,CN1CCN(C(=O)CN[C@H]2C[C@@H]2c2ccc(OCc3ccccc3)cc2)CC1,7.340013347
ZINC000584905102,Cn1c(C(=O)Nc2ccccc2COc2ccc(OC[C@@H]3CCNC3)cc2)cc2sccc21,7.324518933
ZINC000584905186,CN1CCC(Oc2ccc(OCc3ccc(NC(=O)c4cc5sccc5n4C)cc3)cc2)CC1,7.307985115
ZINC000584905094,CN1CCC(Oc2ccc(OCc3ccccc3NC(=O)c3cc4sccc4n3C)cc2)CC1,7.263713733
ZINC000584905208,CCOCc1cccc(NC(=O)c2cc3sccc3n2C)c1COc1ccc(OC[C@@H]2CCNC2)cc1,7.163416995
ZINC000000244029,N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2,7.146231052
ZINC000016052149,N#Cc1ccc2c(-c3cc4cc(CN5CCC(CN)CC5)ccc4[nH]3)n[nH]c2c1,7.140423452
ZINC000004098486,CN(C)[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C(=O)N2CCC[C@H]2C(=O)N/C=C\c2ccc(cc2)O[C@@H]1c1ccccc1,7.135613396
ZINC000169621139,NNCCc1ccc(NC(=O)CCCc2ccccc2)cc1,7.129769238
ZINC000022441784,COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1,7.12946479
