,T1,T2,old/new,Calculated pChEMBL,SMILES,subset,subset
996,15.315903,-33.082752,new,9.15490196,N#CC(C=C1)=CC=C1C2=C(C3=CC=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,3,2
997,15.231905,-33.283325,new,9.096910013,N#CC(C=C1)=CC=C1C2=C(C3=CC(F)=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,3,2
998,15.178677,-33.368237,new,9.522878745,N#CC(C=C1)=C(F)C=C1C2=C(C3=CC(F)=C(OC)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,3,2
995,15.377112,-32.81764,new,8.853871964,N#CC(C=C1)=CC=C1C2=C(C3=CC=C(C)C=C3)C(N(C)C(N4CCC(N)CC4)=N2)=O,1,2
1133,1.809354,9.078473,new,4.813608784,O=C1C2=C(N(CCNC(NC3=C(Cl)C=CC=C3)=S)N=N2)N=C(SCCC)N1,1,2
1134,1.7995585,9.082333,new,4.723308471,O=C1C2=C(N(CCNC(NCC3=CC=CC=C3)=S)N=N2)N=C(SCCC)N1,1,2
1135,1.8183335,9.089611,new,4.770830297,O=C1C2=C(N(CCNC(NC3=CC=C(OC)C=C3)=S)N=N2)N=C(SCCC)N1,1,2
1136,1.7989786,9.083932,new,5.010995384,O=C1C2=C(N(CCNC(NC3=CC=CC4=CC=CC=C34)=S)N=N2)N=C(SCCC)N1,1,
1188,31.303497,35.899162,new,5.958607315,N[C@@H](C)C(N[C@H](C(N[C@]([H])(C(N[C@@H](CCSC)C(N[C@H](C(N[C@]([H])(C(N[C@@H](C)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@]([H])(C(NCC(NCC(N[C@H](C(N[C@@H](C)C(N1CCC[C@H]1C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H](C)C(O)=O)=O)CC(C)C)=O)CCC(N)=O)=O)CCCCN)=O)CCCNC(N)=N)=O)=O)=O)CCCCN)=O)=O)=O)[C@H](O)C)=O)CO)=O)CCCCN)=O)CCCNC(N)=N)=O)=O)[C@H](O)C)=O)CCC(N)=O)=O)=O)[C@H](O)C)=O)CCCNC(N)=N)=O,1,
1189,28.639198,38.41889,new,4.903089987,NC([C@@]([H])(NC([C@@H](NC([C@@H](NC([C@@H](NC([C@H](C)NC([C@@]([H])(NC([C@@H](NC([C@H](CCSC)NC([C@@]([H])(NC([C@@H](NC([C@@H]1CCCN1)=O)CCCNC(N)=N)=O)[C@H](O)C)=O)=O)CCC(N)=O)=O)[C@H](O)C)=O)=O)CCCNC(N)=N)=O)CCCCN)=O)CO)=O)[C@H](O)C)=O,1,
1190,27.990047,38.683075,new,5.301029996,NC([C@@]([H])(NC([C@@H](NC([C@@H](NC([C@@H](NC([C@H](C)NC([C@@]([H])(NC([C@@H](NC([C@H](CCSC)NC([C@H](CC=C)NC([C@@H](NC([C@H](CC=C)N)=O)CCCNC(N)=N)=O)=O)=O)CCC(N)=O)=O)[C@H](O)C)=O)=O)CCCNC(N)=N)=O)CCCCN)=O)CO)=O)[C@H](O)C)=O,1,
